point_index,x,y,z,segment_index,segment_u,segment_v,segment_edge_key,segment_weight,cumulative_cost
96,45.714417,89.623114,58.400001,11,461,431,0,0.670337,5.844078
97,45.714417,90.011686,57.600001,11,461,431,0,0.670337,5.844078
98,45.622988,90.194544,56.800001,11,461,431,0,0.670337,5.844078
99,45.531559,90.285973,56.000001,11,461,431,0,0.670337,5.844078
100,45.325844,90.194544,55.200001,11,461,431,0,0.670337,5.844078
101,45.234415,90.011686,54.400001,11,461,431,0,0.670337,5.844078
102,45.142986,89.623114,53.600001,11,461,431,0,0.670337,5.844078
103,45.142986,89.143112,52.928001,11,461,431,0,0.670337,5.844078
104,45.051557,88.571682,52.256001,11,461,431,0,0.670337,5.844078
105,44.960129,88.000252,52.000001,11,461,431,0,0.670337,5.844078
106,44.845843,87.428822,51.584001,11,461,431,0,0.670337,5.844078
107,44.937271,86.857391,51.488001,11,461,431,0,0.670337,5.844078
108,45.051557,86.377390,50.944001,11,461,431,0,0.670337,5.844078
109,45.165844,85.927865,50.485334,11,461,431,0,0.670337,5.844078
110,45.142986,85.592626,49.856001,11,461,431,0,0.670337,5.844078
111,45.142986,85.379292,49.013334,12,431,426,0,0.606960,6.514415
112,45.142986,85.051672,48.512001,12,431,426,0,0.606960,6.514415
113,45.082034,84.571671,48.512001,12,431,426,0,0.606960,6.514415
114,45.021081,84.000240,48.885334,12,431,426,0,0.606960,6.514415
115,45.592511,82.285950,48.800001,13,426,456,0,0.425964,7.121375
116,45.470606,82.857380,48.800001,13,426,456,0,0.425964,7.121375
117,45.264891,83.428810,48.800001,13,426,456,0,0.425964,7.121375
118,45.021081,84.000240,48.885334,13,426,456,0,0.425964,7.121375
119,45.592511,82.285950,48.800001,14,456,478,0,0.347679,7.547340
120,45.866798,81.950711,48.085334,14,456,478,0,0.347679,7.547340
121,46.224894,81.470709,47.370667,14,456,478,0,0.347679,7.547340
122,46.019179,81.082137,46.485334,15,478,704,0,0.684578,7.895018
123,45.988703,80.571659,45.600001,15,478,704,0,0.684578,7.895018
124,46.194418,80.000229,44.800001,15,478,704,0,0.684578,7.895018
125,46.377276,79.428799,44.128001,15,478,704,0,0.684578,7.895018
126,46.674419,78.857368,43.456001,15,478,704,0,0.684578,7.895018
127,46.857277,78.285938,43.072001,15,478,704,0,0.684578,7.895018
128,47.040135,77.714508,42.656001,15,478,704,0,0.684578,7.895018
129,47.245849,77.143078,42.400001,15,478,704,0,0.684578,7.895018
130,47.337278,76.571648,42.144001,15,478,704,0,0.684578,7.895018
131,47.520136,76.000217,41.856001,15,478,704,0,0.684578,7.895018
132,47.702994,75.520216,41.728001,15,478,704,0,0.684578,7.895018
133,48.091566,75.040215,41.472001,15,478,704,0,0.684578,7.895018
134,48.571568,74.674499,41.472001,15,478,704,0,0.684578,7.895018
135,49.142998,74.285927,41.312001,15,478,704,0,0.684578,7.895018
136,49.714428,73.988783,41.472001,15,478,704,0,0.684578,7.895018
137,50.285858,73.714497,41.472001,15,478,704,0,0.684578,7.895018
138,50.857288,73.531639,41.600001,15,478,704,0,0.684578,7.895018
139,51.428719,73.325924,41.600001,15,478,704,0,0.684578,7.895018
140,52.000149,73.234495,41.728001,15,478,704,0,0.684578,7.895018
141,52.571579,73.143066,41.856001,15,478,704,0,0.684578,7.895018
142,53.143009,73.143066,42.144001,15,478,704,0,0.684578,7.895018
143,53.714439,73.143066,42.186667,15,478,704,0,0.684578,7.895018
144,54.224917,73.204019,42.229334,15,478,704,0,0.684578,7.895018
145,54.103012,73.714497,42.570667,16,704,696,0,0.430991,8.579596
146,53.897297,74.285927,43.114667,16,704,696,0,0.430991,8.579596
147,53.816027,74.857357,43.626667,16,704,696,0,0.430991,8.579596
148,54.224917,74.857357,44.256001,17,696,717,0,0.474476,9.010587
149,54.674442,74.918310,44.800001,17,696,717,0,0.474476,9.010587
150,55.367777,75.245930,45.045334,18,717,926,0,0.417369,9.485064
151,56.000160,75.520216,44.928001,18,717,926,0,0.417369,9.485064
152,56.571590,75.908789,44.800001,18,717,926,0,0.417369,9.485064
153,57.143021,76.091646,44.544001,18,717,926,0,0.417369,9.485064
154,57.714451,76.480219,44.256001,18,717,926,0,0.417369,9.485064
155,58.285881,76.754505,44.000001,18,717,926,0,0.417369,9.485064
156,58.857311,77.143078,43.744001,18,717,926,0,0.417369,9.485064
157,59.428741,77.531650,43.456001,18,717,926,0,0.417369,9.485064
158,60.000172,77.897366,43.328001,18,717,926,0,0.417369,9.485064
159,60.571602,78.285938,43.072001,18,717,926,0,0.417369,9.485064
160,61.143032,78.674511,42.944001,18,717,926,0,0.417369,9.485064
161,61.714462,79.040226,42.784001,18,717,926,0,0.417369,9.485064
162,62.285892,79.428799,42.656001,18,717,926,0,0.417369,9.485064
163,62.857323,79.817371,42.688001,18,717,926,0,0.417369,9.485064
164,63.489705,80.183087,42.528001,18,717,926,0,0.417369,9.485064
165,64.122088,80.571659,42.400001,18,717,926,0,0.417369,9.485064
166,64.632566,80.960232,42.944001,19,926,1241,0,0.330619,9.902432
167,65.143044,81.234518,43.328001,19,926,1241,0,0.330619,9.902432
168,65.714474,81.623091,43.872001,19,926,1241,0,0.330619,9.902432
169,66.285904,81.897377,44.128001,19,926,1241,0,0.330619,9.902432
170,66.857334,82.285950,44.544001,19,926,1241,0,0.330619,9.902432
171,67.428764,82.583093,44.672001,19,926,1241,0,0.330619,9.902432
172,68.000195,82.765951,44.800001,19,926,1241,0,0.330619,9.902432
173,68.571625,82.948809,44.800001,19,926,1241,0,0.330619,9.902432
174,69.143055,83.131666,44.800001,19,926,1241,0,0.330619,9.902432
175,69.714485,83.428810,44.800001,19,926,1241,0,0.330619,9.902432
176,70.285915,83.725954,44.672001,19,926,1241,0,0.330619,9.902432
177,70.857346,84.000240,44.416001,19,926,1241,0,0.330619,9.902432
178,71.428776,84.183098,44.000001,19,926,1241,0,0.330619,9.902432
179,72.000206,84.388813,43.584001,19,926,1241,0,0.330619,9.902432
180,72.571636,84.449765,43.285334,19,926,1241,0,0.330619,9.902432
181,73.143066,84.388813,43.872001,20,1241,1793,0,0.501641,10.233051
182,73.714497,84.091669,44.544001,20,1241,1793,0,0.501641,10.233051
183,74.285927,83.908811,44.928001,20,1241,1793,0,0.501641,10.233051
184,74.857357,83.611668,45.344001,20,1241,1793,0,0.501641,10.233051
185,75.428787,83.520239,45.472001,20,1241,1793,0,0.501641,10.233051
186,76.000217,83.337381,45.600001,20,1241,1793,0,0.501641,10.233051
187,76.571648,83.154524,45.600001,20,1241,1793,0,0.501641,10.233051
188,77.143078,82.857380,45.600001,20,1241,1793,0,0.501641,10.233051
189,77.714508,82.560236,45.728001,20,1241,1793,0,0.501641,10.233051
190,78.285938,82.285950,45.856001,20,1241,1793,0,0.501641,10.233051
191,78.857368,82.011663,46.144001,20,1241,1793,0,0.501641,10.233051
192,79.428799,81.623091,46.272001,20,1241,1793,0,0.501641,10.233051
193,80.000229,81.143089,46.400001,20,1241,1793,0,0.501641,10.233051
194,80.480230,80.571659,46.400001,20,1241,1793,0,0.501641,10.233051
195,80.960232,80.000229,46.272001,20,1241,1793,0,0.501641,10.233051
196,81.325947,79.428799,46.144001,20,1241,1793,0,0.501641,10.233051
197,81.714520,78.857368,45.856001,20,1241,1793,0,0.501641,10.233051
198,82.103092,78.285938,45.600001,20,1241,1793,0,0.501641,10.233051
199,82.468807,77.714508,45.216001,20,1241,1793,0,0.501641,10.233051
200,82.948809,77.204030,44.672001,20,1241,1793,0,0.501641,10.233051
201,83.428810,76.693553,44.000001,20,1241,1793,0,0.501641,10.233051
202,84.000240,77.021173,43.712001,21,1793,2084,0,0.445802,10.734692
203,84.571671,77.234507,43.584001,21,1793,2084,0,0.445802,10.734692
204,85.143101,77.531650,43.872001,21,1793,2084,0,0.445802,10.734692
205,85.653578,77.623079,44.256001,21,1793,2084,0,0.445802,10.734692
206,86.164056,77.714508,44.885334,21,1793,2084,0,0.445802,10.734692
207,86.796439,77.204030,44.800001,22,2084,2244,0,0.301499,11.180493
208,87.367869,76.754505,44.800001,22,2084,2244,0,0.301499,11.180493
209,87.725965,77.204030,44.800001,23,2244,2753,0,0.467757,11.481993
210,88.000252,77.714508,44.800001,23,2244,2753,0,0.467757,11.481993
211,88.274538,78.285938,44.800001,23,2244,2753,0,0.467757,11.481993
212,88.663111,78.857368,44.800001,23,2244,2753,0,0.467757,11.481993
213,89.143112,79.428799,44.800001,23,2244,2753,0,0.467757,11.481993
214,89.623114,80.000229,44.800001,23,2244,2753,0,0.467757,11.481993
215,90.103115,80.571659,44.800001,23,2244,2753,0,0.467757,11.481993
216,90.468830,81.051660,44.800001,23,2244,2753,0,0.467757,11.481993
217,90.948832,81.440233,44.800001,23,2244,2753,0,0.467757,11.481993
218,91.428833,81.714520,44.672001,23,2244,2753,0,0.467757,11.481993
219,92.000263,81.988806,44.544001,23,2244,2753,0,0.467757,11.481993
220,92.571693,82.285950,44.256001,23,2244,2753,0,0.467757,11.481993
221,93.143124,82.583093,44.128001,23,2244,2753,0,0.467757,11.481993
222,93.714554,82.765951,44.000001,23,2244,2753,0,0.467757,11.481993
223,94.285984,82.857380,44.000001,23,2244,2753,0,0.467757,11.481993
224,94.857414,82.948809,43.872001,23,2244,2753,0,0.467757,11.481993
225,95.428844,83.040238,43.744001,23,2244,2753,0,0.467757,11.481993
226,96.000275,83.245952,43.328001,23,2244,2753,0,0.467757,11.481993
227,96.571705,83.337381,42.944001,23,2244,2753,0,0.467757,11.481993
228,97.143135,83.520239,42.272001,23,2244,2753,0,0.467757,11.481993
229,97.653613,83.581192,41.685334,23,2244,2753,0,0.467757,11.481993
230,98.164090,83.756430,40.970667,23,2244,2753,0,0.467757,11.481993
231,98.796473,83.581192,41.429334,24,2753,3030,0,0.293413,11.949750
232,99.428856,83.611668,41.728001,24,2753,3030,0,0.293413,11.949750
233,100.000286,83.520239,42.272001,24,2753,3030,0,0.293413,11.949750
234,100.571716,83.634525,42.528001,24,2753,3030,0,0.293413,11.949750
235,101.143147,83.520239,42.944001,24,2753,3030,0,0.293413,11.949750
236,101.714577,83.520239,43.072001,24,2753,3030,0,0.293413,11.949750
237,102.286007,83.428810,43.200001,24,2753,3030,0,0.293413,11.949750
238,102.918390,83.367858,43.200001,24,2753,3030,0,0.293413,11.949750
239,103.550772,83.245952,43.114667,24,2753,3030,0,0.293413,11.949750
240,104.061250,83.367858,43.616001,25,3030,3093,0,0.307381,12.243163
241,104.571728,83.520239,44.000001,25,3030,3093,0,0.307381,12.243163
242,105.143158,83.520239,44.256001,25,3030,3093,0,0.307381,12.243163
243,105.714588,83.725954,44.672001,25,3030,3093,0,0.307381,12.243163
244,106.286018,83.611668,45.056001,25,3030,3093,0,0.307381,12.243163
245,106.857449,83.695478,45.728001,25,3030,3093,0,0.307381,12.243163
246,107.489831,83.489763,46.400001,25,3030,3093,0,0.307381,12.243163
247,107.611736,83.398334,47.200001,26,3093,3241,0,0.575431,12.550544
248,107.908880,83.154524,47.872001,26,3093,3241,0,0.575431,12.550544
249,108.183167,82.765951,48.544001,26,3093,3241,0,0.575431,12.550544
250,108.663168,82.377379,48.928001,26,3093,3241,0,0.575431,12.550544
251,109.143169,81.897377,49.344001,26,3093,3241,0,0.575431,12.550544
252,109.714600,81.531662,49.344001,26,3093,3241,0,0.575431,12.550544
253,110.286030,81.234518,49.216001,26,3093,3241,0,0.575431,12.550544
254,110.857460,80.937374,48.672001,26,3093,3241,0,0.575431,12.550544
255,111.428890,80.868803,48.000001,26,3093,3241,0,0.575431,12.550544
256,112.000320,80.571659,47.200001,26,3093,3241,0,0.575431,12.550544
257,112.571751,80.388801,46.656001,26,3093,3241,0,0.575431,12.550544
258,113.143181,79.908800,46.112001,26,3093,3241,0,0.575431,12.550544
259,113.714611,79.550704,45.888001,26,3093,3241,0,0.575431,12.550544
260,114.286041,79.223084,45.429334,26,3093,3241,0,0.575431,12.550544
261,114.857471,78.887845,45.472001,27,3241,3282,0,0.644052,13.125975
262,115.367949,78.583082,45.216001,27,3241,3282,0,0.644052,13.125975
263,115.878427,78.224986,44.629334,27,3241,3282,0,0.644052,13.125975
264,116.213666,77.714508,44.544001,28,3282,3327,0,0.640108,13.770027
265,116.663191,77.204030,44.256001,28,3282,3327,0,0.640108,13.770027
266,117.143192,76.693553,44.085334,28,3282,3327,0,0.640108,13.770027
267,117.714622,77.021173,43.872001,29,3327,3378,0,0.586254,14.410135
268,118.194624,77.325936,43.744001,29,3327,3378,0,0.586254,14.410135
269,118.583196,77.866889,43.370667,29,3327,3378,0,0.586254,14.410135
270,118.796530,78.285938,43.114667,29,3327,3378,0,0.586254,14.410135
271,119.428913,78.644035,43.498667,30,3378,3507,0,0.350973,14.996389
272,120.000343,78.857368,44.128001,30,3378,3507,0,0.350973,14.996389
273,120.571774,79.131655,44.800001,30,3378,3507,0,0.350973,14.996389
274,121.051775,79.428799,45.600001,30,3378,3507,0,0.350973,14.996389
275,121.440347,79.725942,46.464001,30,3378,3507,0,0.350973,14.996389
276,121.714634,79.954514,47.392001,30,3378,3507,0,0.350973,14.996389
277,122.286064,80.274515,48.064001,31,3507,3581,0,0.371250,15.347362
278,122.857494,80.632612,48.800001,31,3507,3581,0,0.371250,15.347362
279,123.428925,81.143089,48.928001,32,3581,3523,0,0.632410,15.718612
280,124.000355,81.714520,49.056001,32,3581,3523,0,0.632410,15.718612
281,124.480356,82.285950,49.472001,32,3581,3523,0,0.632410,15.718612
282,124.868929,82.857380,49.728001,32,3581,3523,0,0.632410,15.718612
283,125.051786,83.428810,50.272001,32,3581,3523,0,0.632410,15.718612
284,125.143215,84.000240,50.656001,32,3581,3523,0,0.632410,15.718612
285,125.051786,84.571671,51.328001,32,3581,3523,0,0.632410,15.718612
286,124.960358,85.143101,51.872001,32,3581,3523,0,0.632410,15.718612
287,124.663214,85.714531,52.544001,32,3581,3523,0,0.632410,15.718612
288,124.388927,86.285961,52.928001,32,3581,3523,0,0.632410,15.718612
289,123.908926,86.857391,53.472001,32,3581,3523,0,0.632410,15.718612
290,123.520353,87.428822,53.728001,32,3581,3523,0,0.632410,15.718612
291,123.131781,88.000252,54.144001,32,3581,3523,0,0.632410,15.718612
292,122.857494,88.571682,54.400001,32,3581,3523,0,0.632410,15.718612
293,122.583208,89.143112,54.784001,32,3581,3523,0,0.632410,15.718612
294,122.286064,89.714542,55.328001,32,3581,3523,0,0.632410,15.718612
295,121.988920,90.194544,56.000001,32,3581,3523,0,0.632410,15.718612
296,121.806063,90.583116,56.800001,32,3581,3523,0,0.632410,15.718612
297,121.714634,90.796450,57.600001,32,3581,3523,0,0.632410,15.718612
298,122.011778,90.285973,58.272001,33,3523,3520,0,0.547429,16.351022
299,122.103206,89.714542,58.816001,33,3523,3520,0,0.547429,16.351022
300,122.072730,89.143112,59.242668,33,3523,3520,0,0.547429,16.351022
301,121.775586,88.571682,59.626668,33,3523,3520,0,0.547429,16.351022
302,122.072730,88.000252,59.914668,34,3520,3559,0,0.570457,16.898451
303,122.103206,87.428822,60.256001,34,3520,3559,0,0.570457,16.898451
304,122.103206,86.857391,60.928001,34,3520,3559,0,0.570457,16.898451
305,121.988920,86.285961,61.600001,34,3520,3559,0,0.570457,16.898451
306,121.988920,85.805960,62.400001,34,3520,3559,0,0.570457,16.898451
307,122.103206,85.417387,63.200001,34,3520,3559,0,0.570457,16.898451
308,122.194635,85.325958,64.000001,34,3520,3559,0,0.570457,16.898451
309,122.286064,85.417387,64.800001,34,3520,3559,0,0.570457,16.898451
310,122.286064,85.805960,65.600001,34,3520,3559,0,0.570457,16.898451
311,122.286064,86.194532,66.400001,34,3520,3559,0,0.570457,16.898451
312,122.286064,86.644057,67.200001,34,3520,3559,0,0.570457,16.898451
313,122.286064,86.979296,67.914668,34,3520,3559,0,0.570457,16.898451
314,121.806063,87.489774,68.128001,35,3559,3720,0,1.182829,17.468908
315,121.417490,88.000252,68.256001,35,3559,3720,0,1.182829,17.468908
316,121.143204,88.571682,68.544001,35,3559,3720,0,1.182829,17.468908
317,120.960346,89.143112,68.672001,35,3559,3720,0,1.182829,17.468908
318,120.754631,89.714542,68.800001,35,3559,3720,0,1.182829,17.468908
319,120.663202,90.285973,68.800001,35,3559,3720,0,1.182829,17.468908
320,120.571774,90.857403,68.800001,35,3559,3720,0,1.182829,17.468908
321,120.571774,91.428833,68.800001,35,3559,3720,0,1.182829,17.468908
322,120.663202,92.000263,68.800001,35,3559,3720,0,1.182829,17.468908
323,120.754631,92.571693,68.800001,35,3559,3720,0,1.182829,17.468908
324,121.051775,93.051695,68.800001,35,3559,3720,0,1.182829,17.468908
325,121.326061,93.531696,68.800001,35,3559,3720,0,1.182829,17.468908
326,121.806063,93.897411,68.800001,35,3559,3720,0,1.182829,17.468908
327,122.286064,94.285984,68.800001,35,3559,3720,0,1.182829,17.468908
328,122.857494,94.583128,68.800001,35,3559,3720,0,1.182829,17.468908
329,123.428925,94.765985,68.800001,35,3559,3720,0,1.182829,17.468908
330,124.000355,94.857414,68.800001,35,3559,3720,0,1.182829,17.468908
331,124.571785,94.765985,68.800001,35,3559,3720,0,1.182829,17.468908
332,125.143215,94.674557,68.800001,35,3559,3720,0,1.182829,17.468908
333,125.714645,94.377413,68.800001,35,3559,3720,0,1.182829,17.468908
334,126.286076,94.103126,68.672001,35,3559,3720,0,1.182829,17.468908
335,126.857506,93.623125,68.544001,35,3559,3720,0,1.182829,17.468908
336,127.428936,93.143124,68.256001,35,3559,3720,0,1.182829,17.468908
337,127.908937,92.571693,68.000001,35,3559,3720,0,1.182829,17.468908
338,128.388939,92.000263,67.744001,35,3559,3720,0,1.182829,17.468908
339,128.663225,91.428833,67.456001,35,3559,3720,0,1.182829,17.468908
340,129.051798,90.857403,67.200001,35,3559,3720,0,1.182829,17.468908
341,129.326084,90.285973,66.816001,35,3559,3720,0,1.182829,17.468908
342,129.806086,89.714542,66.272001,35,3559,3720,0,1.182829,17.468908
343,130.194658,89.143112,65.600001,35,3559,3720,0,1.182829,17.468908
344,130.674660,88.663111,64.800001,35,3559,3720,0,1.182829,17.468908
345,130.948946,88.274538,64.000001,35,3559,3720,0,1.182829,17.468908
346,131.337519,88.091681,63.200001,35,3559,3720,0,1.182829,17.468908
347,131.611805,88.000252,62.400001,35,3559,3720,0,1.182829,17.468908
348,132.091806,88.091681,61.600001,35,3559,3720,0,1.182829,17.468908
349,132.571808,88.274538,60.800001,35,3559,3720,0,1.182829,17.468908
350,133.051809,88.663111,60.128001,35,3559,3720,0,1.182829,17.468908
351,133.440382,89.143112,59.584001,35,3559,3720,0,1.182829,17.468908
352,133.623239,89.714542,59.328001,35,3559,3720,0,1.182829,17.468908
353,133.714668,90.285973,59.200001,35,3559,3720,0,1.182829,17.468908
354,133.806097,90.857403,59.200001,35,3559,3720,0,1.182829,17.468908
355,133.897526,91.428833,59.200001,35,3559,3720,0,1.182829,17.468908
356,134.103241,92.000263,59.328001,35,3559,3720,0,1.182829,17.468908
357,134.194670,92.571693,59.456001,35,3559,3720,0,1.182829,17.468908
358,134.286098,93.143124,59.744001,35,3559,3720,0,1.182829,17.468908
359,134.286098,93.714554,60.000001,35,3559,3720,0,1.182829,17.468908
360,134.286098,94.285984,60.384001,35,3559,3720,0,1.182829,17.468908
361,134.286098,94.857414,60.928001,35,3559,3720,0,1.182829,17.468908
362,134.194670,95.428844,61.600001,35,3559,3720,0,1.182829,17.468908
363,134.103241,96.000275,62.400001,35,3559,3720,0,1.182829,17.468908
364,133.897526,96.571705,63.200001,35,3559,3720,0,1.182829,17.468908
365,133.714668,97.143135,64.000001,35,3559,3720,0,1.182829,17.468908
366,133.440382,97.714565,64.672001,35,3559,3720,0,1.182829,17.468908
367,133.051809,98.285995,65.344001,35,3559,3720,0,1.182829,17.468908
368,132.571808,98.857426,65.856001,35,3559,3720,0,1.182829,17.468908
369,132.000378,99.337427,66.400001,35,3559,3720,0,1.182829,17.468908
370,131.428947,99.817428,66.816001,35,3559,3720,0,1.182829,17.468908
371,130.857517,100.183144,67.200001,35,3559,3720,0,1.182829,17.468908
372,130.286087,100.663145,67.584001,35,3559,3720,0,1.182829,17.468908
373,129.714657,101.051718,68.000001,35,3559,3720,0,1.182829,17.468908
374,129.143227,101.440290,68.416001,35,3559,3720,0,1.182829,17.468908
375,128.571796,101.714577,68.800001,35,3559,3720,0,1.182829,17.468908
